text,topic,summary
"

	The little sister, however, was dreadfully frightened when she saw that her fawn was hurt. She washed the blood off him, laid herbs on the wound, and said, 'Go to your bed, dear roe, that you may get well again.' But the wound was so slight that the roebuck, next morning, did not feel it any more. And when he again heard the sport outside, he said, 'I cannot bear it, I must be there; they shall not find it so easy to catch me.' The sister cried, and said, 'This time they will kill you, and here am I alone in the forest and forsaken by all the world. I will not let you out.' 'Then you will have me die of grief,' answered the roe; 'when I hear the bugle-horns I feel as if I must jump out of my skin.' Then the sister could not do otherwise, but opened the door for him with a heavy heart, and the roebuck, full of health and joy, bounded into the forest.",little brother and little sister_segment_14.txt," The little sister was dreadfully frightened when she saw that her fawn was hurt . She washed the blood off him, laid herbs on the wound, and said, 'Go to your bed, dear roe, that you may get"
"

	9.3                ",how six men got on in the world_segment_5.txt," 9.9.3.3 . 9.5.3    9.6.4.5 . 10.4 . 9 .5.6 .  10.3 is 9.3, 9.4 is"
"

	Early in the morning, Gretel had to go out and hang up the cauldron with the water, and light the fire. 'We will bake first,' said the old woman, 'I have already heated the oven, and kneaded the dough.' She pushed poor Gretel out to the oven, from which flames of fire were already darting. 'Creep in,' said the witch, 'and see if it is properly heated, so that we can shut the bread in.' And when once Gretel was inside, she intended to shut the oven and let her bake in it, and then she would eat her, too. But Gretel saw what she had in her mind, and said, 'I do not know how I am to do it; how do you get in?' 'Silly goose,' said the old woman, 'The door is big enough; just look, I can get in myself!' and she crept up and thrust her head into the oven. Then Gretel gave her a push that drove her far into it, and shut the iron door, and fastened the bolt. Oh! then she began to howl quite horribly, but Gretel ran away, and the godless witch was miserably burnt to death.",hansel and gretel_segment_14.txt," Gretel had to go out and hang up the cauldron with the water, and light the fire . 'We will bake first,' said the old woman, 'I have already heated the oven, and kneaded the dough'"
"

	All at once the King's son entered, clothed in velvet and silk, with gold chains about his neck. And when he saw the beautiful woman standing by the door he seized her by the hand, and would have danced with her; but she refused and shrank with fear, for she saw that it was King Thrushbeard, her suitor whom she had driven away with scorn. Her struggles were of no avail, he drew her into the hall; but the string by which her pockets were hung broke, the pots fell down, the soup ran out, and the scraps were scattered all about. And when the people saw it, there arose general laughter and derision, and she was so ashamed that she would rather have been a thousand fathoms below the ground. She sprang to the door and would have run away, but on the stairs a man caught her and brought her back; and when she looked at him it was King Thrushbeard again. He said to her kindly, 'Do not be afraid, I and the fiddler who has been living with you in that wretched hovel are one. For love of you I disguised myself so; and I also was the hussar who rode through your crockery. This was all done to humble your proud spirit, and to punish you for the insolence with which you mocked me.'",king thrushbeard_segment_18.txt," The King's son entered, clothed in velvet and silk, with gold chains about his neck . When he saw the beautiful woman standing by the door he seized her by the hand, and would have danced with her . But she refused and"
"

	Thereupon the King and the Queen suffered great anguish, and the King said, 'Ah, how ill I have requited great fidelity!' and ordered the stone figure to be taken up and placed in his bedroom beside his bed. And as often as he looked on it he wept and said, 'Ah, if I could bring thee to life again, my most faithful John.' Some time passed and the Queen bore twins, two sons who grew fast and were her delight. Once when the Queen was at church and the two children were sitting playing beside their father, the latter full of grief again looked at the stone figure, sighed and said, 'Ah, if I could but bring thee to life again, my most faithful John.' Then the stone began to speak and said, 'Thou canst bring me to life again if thou wilt use for that purpose what is dearest to thee.' Then cried the King, 'I will give everything I have in the world for thee.' The stone continued, 'If thou wilt will cut off the heads of thy two children with thine own hand, and sprinkle me with their blood, I shall be restored to life.'",faithful john_segment_13.txt," The King and the Queen suffered great anguish, and ordered the stone figure to be taken up and placed in his bedroom beside his bed . As often as he looked on it he wept and said, 'Ah, if I could bring"
"There was once a little girl who was obstinate and inquisitive, and when her parents told her to do anything, she did not obey them, so how could she fare well? One day she said to her parents, 'I have heard so much of Frau Trude, I will go to her some day. People say that everything about her does look so strange, and that there are such odd things in her house, that I have become quite curious!' Her parents absolutely forbade her, and said, 'Frau Trude is a bad woman, who does wicked things, and if thou goest to her; thou art no longer our child.' But the maiden did not let herself be turned aside by her parent's prohibition, and still went to Frau Trude. And when she got to her, Frau Trude said, 'Why art thou so pale?' 'Ah,' she replied, and her whole body trembled, 'I have been so terrified at what I have seen.' 'What hast thou seen?' 'I saw a black man on your steps.' 'That was a collier.' 'Then I saw a green man.' 'That was a huntsman.' 'After that I saw a blood-red man.' 'That was a butcher.' 'Ah, Frau Trude, I was terrified; I looked through the window and saw not you, but, as I verily believe, the devil himself with a head of fire.' 'Oho!' said she, 'then thou hast seen the witch in her proper costume. I have been waiting for thee, and wanting thee a long time already; thou shalt give me some light.' Then she changed the girl into a block of wood, and threw it into the fire. And when it was in full blaze she sat down close to it, and warmed herself by it, and said, 'That shines bright for once in a way.'",frau trude_segment_0.txt," A little girl was obstinate and inquisitive, and when her parents told her to do anything, she did not obey them . One day she said to her parents, 'I have heard so much of Frau Trude,"
"

	The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree. Then the brother said, 'Sister, I am thirsty; if I knew of a little brook I would go and just take a drink; I think I hear one running.' The brother got up and took the little sister by the hand, and they set off to find the brook.",little brother and little sister_segment_2.txt," The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree . The brother said, 'Sister, I am thirsty; if I knew of a little brook I would go"
"

	Then they journeyed onwards, and came to a kingdom where they heard that the King's daughter lay sick unto death. 'Hollo, brother!' said the soldier to St. Peter, 'this is a chance for us; if we can heal her we shall be provided for, for life!' But St. Peter was not half quick enough for him, 'Come, lift your legs, my dear brother,' said he, 'that we may get there in time.' But St. Peter walked slower and slower, though Brother Lustig did all he could to drive and push him on, and at last they heard that the princess was dead. 'Now we are done for!' said Brother Lustig; 'that comes of thy sleepy way of walking!' 'Just be quiet,' answered St. Peter, 'I can do more than cure sick people; I can bring dead ones to life again.' 'Well, if thou canst do that,' said Brother Lustig, 'it's all right, but thou shouldst earn at least half the kingdom for us by that.' Then they went to the royal palace, where every one was in great grief, but St. Peter told the King that he would restore his daughter to life. He was taken to her, and said, 'Bring me a kettle and some water,' and when that was brought, he bade everyone go out, and allowed no one to remain with him but Brother Lustig. Then he cut off all the dead girl's limbs, and threw them in the water, lighted a fire beneath the kettle, and boiled them. And when the flesh had fallen away from the bones, he took out the beautiful white bones, and laid them on a table, and arranged them together in their natural order. When he had done that, he stepped forward and said three times, 'In the name of the holy Trinity, dead woman, arise.' And at the third time, the princess arose, living, healthy and beautiful. Then the King was in the greatest joy, and said to St. Peter, 'Ask for thy reward; even if it were half my kingdom, I would give it thee.' But St. Peter said, 'I want nothing for it.' 'Oh, thou tomfool!' thought Brother Lustig to himself, and nudged his comrade's side, and said, 'Don't be so stupid! If thou hast no need of anything, I have.' St. Peter, however, would have nothing, but as the King saw that the other would very much like to have something, he ordered his treasurer to fill Brother Lustig's knapsack with gold. Then they went on their way, and when they came to a forest, St. Peter said to Brother Lustig, 'Now, we will divide the gold.' 'Yes,' he replied, 'we will.' So St. Peter divided the gold, and divided it into three heaps. Brother Lustig thought to himself, 'What craze has he got in his head now? He is making three shares, and there are only two of us!' But St. Peter said, 'I have divided it exactly; there is one share for me, one for thee, and one for him who ate the lamb's heart.'",brother lustig_segment_3.txt," St. Peter told the King that he would restore his daughter to life . The King was in the greatest joy, and said to St Peter, 'Even if it were half my kingdom, I would give it thee' But St."
"

	She came thus many nights and never spoke a word: the nurse always saw her, but she did not dare to tell anyone about it.",little brother and little sister_segment_23.txt," She came so many nights and never spoke a word: the nurse always saw her, but she did not dare to tell anyone about it ."
"

	'Hast thou also a drudge? what name has thy drudge?' 'From-thy-work- do-not-budge.' 'My drudge, From-thy-work-do-not-budge: my child Wild, thy child Wild; my man Cham, thy man Cham; I to Walpe, thou to Walpe; so, so, together we'll go.'",domestic servants_segment_1.txt," 'My drudge, From-thy-work- do-not-budge: my child Wild, thy child Wild; my man Cham, thy man Cham; I to Walpe, thou to WalPe; so, so"
